page,url,ss,source_query,URL_STRUCTURE_PASS,WANDROZ_QUERY_MATCH,BOOKING_DESTINATION_VERIFIED,AFFILIATE_ATTRIBUTION_VERIFIED,destination_class,notes
amsterdam/jordaan,https://www.booking.com/searchresults.html?ss=Jordaan%2C%20Amsterdam%2C%20Netherlands,"Jordaan, Amsterdam, Netherlands","Jordaan, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/k-buurt,https://www.booking.com/searchresults.html?ss=K-buurt%2C%20Amsterdam%2C%20Netherlands,"K-buurt, Amsterdam, Netherlands","K-buurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/kadoelen,https://www.booking.com/searchresults.html?ss=Kadoelen%2C%20Amsterdam%2C%20Netherlands,"Kadoelen, Amsterdam, Netherlands","Kadoelen, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/landlust,https://www.booking.com/searchresults.html?ss=Landlust%2C%20Amsterdam%2C%20Netherlands,"Landlust, Amsterdam, Netherlands","Landlust, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/lutkemeer-ookmeer,https://www.booking.com/searchresults.html?ss=Lutkemeer/Ookmeer%2C%20Amsterdam%2C%20Netherlands,"Lutkemeer/Ookmeer, Amsterdam, Netherlands","Lutkemeer/Ookmeer, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/middenmeer,https://www.booking.com/searchresults.html?ss=Middenmeer%2C%20Amsterdam%2C%20Netherlands,"Middenmeer, Amsterdam, Netherlands","Middenmeer, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/museumkwartier,https://www.booking.com/searchresults.html?ss=Museumkwartier%2C%20Amsterdam%2C%20Netherlands,"Museumkwartier, Amsterdam, Netherlands","Museumkwartier, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/nellestein,https://www.booking.com/searchresults.html?ss=Nellestein%2C%20Amsterdam%2C%20Netherlands,"Nellestein, Amsterdam, Netherlands","Nellestein, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/nieuwe-pijp,https://www.booking.com/searchresults.html?ss=Nieuwe%20Pijp%2C%20Amsterdam%2C%20Netherlands,"Nieuwe Pijp, Amsterdam, Netherlands","Nieuwe Pijp, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/nieuwendammerdijk-buiksloterdijk,https://www.booking.com/searchresults.html?ss=Nieuwendammerdijk/Buiksloterdijk%2C%20Amsterdam%2C%20Netherlands,"Nieuwendammerdijk/Buiksloterdijk, Amsterdam, Netherlands","Nieuwendammerdijk/Buiksloterdijk, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
